neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Tower Hamlets,51.52298,-0.05394,Shared room,20,1,1,0,0
Wandsworth,51.44732,-0.21754,Shared room,126,2,1,363,0
Hackney,51.55171,-0.07304,Shared room,100,1,1,0,0
Kensington and Chelsea,51.49227,-0.19313,Shared room,30,2,1,0,0
Hammersmith and Fulham,51.46893,-0.21193,Shared room,105,2,4,232,4
Lewisham,51.46537,-0.02346,Shared room,30,1,1,0,0
Haringey,51.59174,-0.07972,Shared room,13,1,3,0,0
Harrow,51.58173,-0.36931,Shared room,15,1,1,0,0
Lambeth,51.48745,-0.11156,Shared room,75,1,1,0,0
Hammersmith and Fulham,51.48938,-0.21117,Shared room,78,1,1,364,0
Brent,51.54541,-0.20971,Shared room,15,2,57,0,3
Ealing,51.49641,-0.38221,Shared room,500,3,3,350,0
City of London,51.51751,-0.09861,Shared room,120,1,1,0,0
Lambeth,51.49785,-0.11445,Shared room,53,1,3,0,0
Hackney,51.53104,-0.0921,Shared room,35,1,1,0,0
Lambeth,51.46544,-0.12994,Shared room,16,3,1,0,0
Tower Hamlets,51.5171,-0.0571,Shared room,65,6,2,49,9
Barnet,51.59723,-0.24945,Shared room,20,1,1,0,0
Barking and Dagenham,51.53359,0.08045,Shared room,166,1,2,173,0
Kensington and Chelsea,51.49381,-0.18985,Shared room,190,1,1,0,0
Barnet,51.58768,-0.1929,Shared room,150,1,1,0,0
Islington,51.5672,-0.12935,Shared room,30,1,1,0,0
Tower Hamlets,51.53333,-0.06149,Shared room,50,1,2,0,0
Redbridge,51.60481,0.04692,Shared room,49,1,1,0,0
Richmond upon Thames,51.48346,-0.24545,Shared room,25,1,3,0,0
Sutton,51.35497,-0.2027,Shared room,53,5,2,0,0
Newham,51.50521,0.03493,Shared room,41,1,1,0,0
Haringey,51.60152,-0.05954,Shared room,24,1,1,0,0
Hackney,51.55599,-0.07463,Shared room,34,1,1,299,54
Tower Hamlets,51.52109,-0.05262,Shared room,29,1,1,0,0
Lewisham,51.44486,0.00537,Shared room,24,2,1,0,0
Lewisham,51.46261,-0.02198,Shared room,30,1,1,173,0
Kensington and Chelsea,51.50962,-0.21426,Shared room,14,1,1,0,0
